id,Cor,Infravermelho,Temperatura,Vibracao,Estado
0,0,1,44.717,0,Funcional
1,1,1,19.2994,0,Funcional
2,3,1,-100.8952,0,Funcional
3,0,1,94.9387,1,Problema encontrado
4,2,0,93.8993,0,Problema encontrado
5,1,1,24.598,0,Funcional
6,1,1,69.4053,0,Funcional
7,-2,1,28.8364,0,Disfuncional
8,2,1,-19.829,0,Funcional
9,0,1,20.4627,0,Funcional
10,1,0,79.128,1,Problema encontrado
11,1,1,-50.22,0,Funcional
12,1,0,-18.3308,0,Problema encontrado
13,0,1,6.9033,1,Funcional
14,-2,1,121.7156,1,Disfuncional
15,0,0,104.6598,0,Problema encontrado
16,1,0,47.1428,1,Problema encontrado
17,3,0,-79.4247,1,Problema encontrado
18,0,0,-72.0593,1,Funcional
19,3,1,82.2078,1,Funcional
20,3,0,132.6278,1,Problema encontrado
21,-2,1,-126.8515,1,Disfuncional
22,3,0,30.5304,0,Problema encontrado
23,-2,0,-76.3847,0,Disfuncional
24,-2,1,-1.7095,1,Disfuncional
25,0,1,-84.7094,0,Funcional
26,2,1,84.2702,0,Funcional
27,3,0,-39.3899,1,Problema encontrado
28,3,1,59.2617,1,Funcional
29,0,0,-81.9124,0,Funcional
30,0,0,-125.7037,1,Disfuncional
31,1,1,42.721,0,Funcional
32,-2,1,7.3139,0,Disfuncional
33,0,1,-6.4523,1,Funcional
34,-2,1,-84.3361,1,Disfuncional
35,-2,0,92.0334,0,Disfuncional
36,-2,1,-1.8674,0,Disfuncional
37,1,1,64.6313,0,Funcional
38,2,1,132.5006,0,Problema encontrado
39,-2,0,-13.5151,0,Disfuncional
40,-2,1,148.2103,1,Disfuncional
41,2,0,107.6564,0,Problema encontrado
42,1,0,100.7771,1,Problema encontrado
43,1,0,-109.6627,0,Problema encontrado
44,0,1,79.998,0,Funcional
45,-2,0,-98.8258,1,Disfuncional
46,0,0,-57.45,0,Funcional
47,0,0,-21.8306,1,Funcional
48,2,1,-51.9407,0,Funcional
49,-2,1,127.8854,1,Disfuncional
50,0,0,-8.7675,1,Funcional
51,3,1,-61.0983,1,Funcional
52,3,1,20.0307,1,Funcional
53,2,0,-120.3799,0,Problema encontrado
54,3,1,-112.7534,0,Funcional
55,0,0,138.1112,0,Problema encontrado
56,3,1,-108.5653,1,Funcional
57,3,1,2.3003,0,Funcional
58,0,1,-4.4223,1,Funcional
59,1,0,25.8696,0,Problema encontrado
60,3,0,-109.1297,1,Problema encontrado
61,2,1,-79.2406,0,Funcional
62,3,0,-104.2413,1,Problema encontrado
63,1,1,102.4316,1,Problema encontrado
64,2,0,97.9151,1,Problema encontrado
65,1,1,11.7951,1,Funcional
66,3,1,-46.7526,0,Funcional
67,1,0,37.9758,1,Problema encontrado
68,3,0,-8.9316,1,Problema encontrado
69,0,0,58.582,0,Funcional
70,3,0,-79.9521,0,Problema encontrado
71,-2,1,-25.8428,0,Disfuncional
72,1,0,-33.9235,1,Problema encontrado
73,1,0,-65.4488,0,Problema encontrado
74,1,0,82.5641,0,Problema encontrado
75,3,0,53.2743,0,Problema encontrado
76,3,1,-56.487,1,Funcional
77,2,0,-32.3911,0,Problema encontrado
78,1,1,122.5524,0,Problema encontrado
79,-2,0,71.4397,0,Disfuncional
80,2,1,-122.5982,1,Funcional
81,1,1,82.5487,0,Funcional
82,-2,0,132.1769,0,Disfuncional
83,3,0,-107.9645,1,Problema encontrado
84,2,1,-84.5219,0,Funcional
85,-2,1,-16.0122,0,Disfuncional
86,2,1,-31.2744,0,Funcional
87,3,0,62.8892,1,Problema encontrado
88,3,0,51.8798,1,Problema encontrado
89,2,0,94.298,0,Problema encontrado
90,2,1,139.4521,0,Problema encontrado
91,-2,1,40.0524,0,Disfuncional
92,0,0,121.1249,0,Problema encontrado
93,2,0,-73.5122,0,Problema encontrado
94,0,0,130.1135,1,Problema encontrado
95,-2,0,118.8549,1,Disfuncional
96,2,0,-70.529,0,Problema encontrado
97,-2,0,55.9949,1,Disfuncional
98,2,0,112.5119,1,Problema encontrado
99,0,1,-15.883,0,Funcional
100,-2,1,-24.7243,1,Disfuncional
101,-2,0,133.0621,0,Disfuncional
102,-2,1,-77.5926,0,Disfuncional
103,1,1,-103.2304,1,Funcional
104,-2,1,64.3058,0,Disfuncional
105,0,1,-121.8063,0,Funcional
106,2,0,49.0714,0,Problema encontrado
107,1,0,84.2947,1,Problema encontrado
108,-2,1,50.7847,1,Disfuncional
109,0,1,-77.9239,1,Funcional
110,2,1,138.2859,1,Problema encontrado
111,0,1,-108.4213,1,Funcional
112,0,0,15.4132,1,Funcional
113,3,0,-116.9993,0,Problema encontrado
114,3,1,101.9699,1,Problema encontrado
115,1,1,138.8671,1,Problema encontrado
116,2,0,0.0137,0,Problema encontrado
117,2,1,-87.7253,0,Funcional
118,-2,0,22.8964,0,Disfuncional
119,3,1,-43.7124,0,Funcional
120,1,0,-88.0894,1,Problema encontrado
121,1,1,119.75,0,Problema encontrado
122,0,1,25.7354,0,Funcional
123,1,1,-17.3992,0,Funcional
124,0,1,-9.5341,1,Funcional
125,-2,0,-84.0963,1,Disfuncional
126,0,0,-35.5251,0,Funcional
127,-2,1,44.0536,1,Disfuncional
128,1,1,9.3031,0,Funcional
129,0,1,-32.8209,1,Funcional
130,3,0,116.9872,1,Problema encontrado
131,3,1,123.2508,1,Problema encontrado
132,2,0,109.4227,0,Problema encontrado
133,3,1,10.9537,1,Funcional
134,3,1,149.2697,0,Problema encontrado
135,3,1,8.435,0,Funcional
136,3,1,28.9496,0,Funcional
137,-2,0,128.6347,0,Disfuncional
138,3,0,56.9243,0,Problema encontrado
139,2,1,-35.4226,1,Funcional
140,0,1,-118.2091,1,Funcional
141,3,0,102.0437,1,Problema encontrado
142,3,1,-82.7702,1,Funcional
143,1,1,92.4584,1,Problema encontrado
144,1,1,139.9985,1,Problema encontrado
145,2,0,120.4356,0,Problema encontrado
146,1,0,-43.1253,0,Problema encontrado
147,1,0,21.2739,0,Problema encontrado
148,3,0,69.782,0,Problema encontrado
149,1,1,-125.4824,1,Disfuncional
150,0,0,-115.0847,1,Funcional
151,3,0,10.2683,0,Problema encontrado
152,3,0,124.9096,0,Problema encontrado
153,2,0,59.7343,0,Problema encontrado
154,0,0,109.4312,1,Problema encontrado
155,0,1,-48.6656,0,Funcional
156,3,1,119.3302,0,Problema encontrado
157,0,0,71.5173,0,Funcional
158,-2,1,-22.1979,0,Disfuncional
159,-2,1,124.3207,0,Disfuncional
160,3,1,145.6788,1,Problema encontrado
161,2,0,62.6748,1,Problema encontrado
162,-2,1,-112.1575,1,Disfuncional
163,0,0,24.0655,1,Funcional
164,-2,0,-72.271,0,Disfuncional
165,2,0,61.0709,0,Problema encontrado
166,2,0,24.6144,1,Problema encontrado
167,2,0,-103.1291,0,Problema encontrado
168,3,1,18.535,1,Funcional
169,1,1,-13.5979,0,Funcional
170,3,0,117.4329,0,Problema encontrado
171,1,0,4.7201,1,Problema encontrado
172,0,1,136.7393,1,Problema encontrado
173,3,0,-1.2545,0,Problema encontrado
174,2,1,-19.5918,1,Funcional
175,3,0,-40.0457,1,Problema encontrado
176,2,0,-108.7326,1,Problema encontrado
177,-2,0,-64.2659,0,Disfuncional
178,1,1,44.1215,1,Funcional
179,0,1,-45.3426,0,Funcional
180,3,0,137.2241,1,Problema encontrado
181,2,1,8.299,0,Funcional
182,-2,1,61.6146,1,Disfuncional
183,1,0,-25.1973,1,Problema encontrado
184,1,0,11.4479,0,Problema encontrado
185,2,1,40.9142,0,Funcional
186,-2,0,130.3467,0,Disfuncional
187,-2,0,41.5782,1,Disfuncional
188,-2,0,117.5024,1,Disfuncional
189,-2,0,64.7853,0,Disfuncional
190,0,0,138.5653,0,Problema encontrado
191,0,0,-32.6352,1,Funcional
192,3,0,63.046,0,Problema encontrado
193,3,0,-48.2674,1,Problema encontrado
194,2,1,-15.3375,1,Funcional
195,3,0,90.153,1,Problema encontrado
196,3,0,95.4982,0,Problema encontrado
197,0,0,76.202,0,Funcional
